"rank","link","state","pop2020","pop2010","change","density","latlng","aland"
185,,"California",142585,135161,"0.0033","2454.0965","33.885714,-117.928025",58100813
186,,"South Carolina",142109,120083,"0.0138","503.2669","32.81793,-79.95896",282373015
187,,"Texas",141616,139824,"-0.0037","1158.6345","32.762883,-96.588768",122226635
188,,"Kansas",141365,125872,"0.0105","895.6432","38.884279,-94.819468",157836287
189,,"Connecticut",141320,144229,"-0.0081","3397.8461","41.187393,-73.195757",41591054
190,,"California",140796,136416,"0.0005","2143.7346","33.828759,-117.785107",65677906
191,,"New York",140678,145170,"-0.0048","2170.0770","43.040998,-76.143554",64826272
192,,"Texas",140318,111147,"0.0103","728.4621","32.024642,-102.113467",192622240
193,,"Texas",140276,99887,"0.0358","1509.9056","30.525243,-97.665953",92903823
194,,"Ohio",140145,141527,"-0.0006","970.6978","39.777394,-84.199632",144375521
195,,"Utah",138954,129480,"0.0043","1512.7750","40.688493,-112.011759",91853713
196,,"Florida",137447,124354,"0.0108","847.6251","29.67886,-82.346111",162155411
197,,"California",136758,124442,"0.0105","1409.1272","36.327272,-119.328862",97051565
198,,"South Carolina",135629,129272,"0.0024","388.0102","34.029095,-80.898037",349550121
199,,"Texas",135443,119097,"0.0039","1439.0369","32.988915,-96.899086",94120591
200,,"Florida",135043,121096,"0.0093","2243.0103","26.270722,-80.259301",60206144
