iter	Passed	Remaining
462	8782	10186
463	8798	10164
464	8813	10140
465	8840	10130
466	8853	10105
467	8873	10087
468	8893	10069
469	8939	10081
470	8958	10061
471	8973	10037
472	8985	10011
473	8994	9981
474	9007	9955
475	9019	9928
476	9028	9899
477	9037	9869
478	9046	9839
479	9054	9809
480	9064	9780
481	9078	9756
482	9088	9728
483	9098	9699
484	9108	9671
485	9119	9644
486	9136	9624
487	9179	9631
488	9221	9636
489	9254	9632
490	9301	9642
491	9335	9638
492	9361	9627
493	9392	9620
494	9426	9617
495	9491	9645
496	9513	9628
497	9529	9605
498	9559	9597
499	9578	9578
500	9585	9547
501	9596	9520
502	9605	9491
503	9615	9463
504	9624	9433
505	9633	9404
506	9641	9375
507	9652	9348
508	9665	9323
509	9674	9295
510	9684	9267
511	9695	9241
512	9705	9213
513	9714	9185
514	9728	9162
515	9759	9154
516	9778	9135
517	9805	9124
518	9824	9104
519	9842	9085
520	9871	9075
521	9893	9059
522	9913	9041
523	9926	9017
524	9942	8995
525	9964	8979
526	9976	8954
527	10023	8960
528	10072	8967
529	10110	8965
530	10127	8945
531	10188	8962
532	10307	9031
533	10396	9072
534	10408	9046
535	10421	9021
536	10437	8999
537	10455	8978
538	10470	8955
539	10491	8937
540	10500	8909
541	10508	8879
542	10517	8851
543	10526	8823
544	10534	8795
545	10544	8767
546	10552	8739
547	10567	8716
548	10576	8688
549	10586	8661
550	10604	8641
551	10639	8634
552	10666	8621
553	10684	8601
554	10701	8580
555	10729	8568
556	10845	8626
557	10856	8599
558	10867	8573
559	10876	8545
560	10885	8517
561	10893	8490
562	10902	8462
563	10913	8436
564	10922	8409
565	10931	8381
566	10939	8353
567	10947	8326
568	10957	8300
569	10968	8274
570	10977	8247
571	10985	8220
572	10993	8192
573	11002	8165
574	11012	8139
575	11025	8116
576	11037	8091
577	11056	8072
578	11105	8075
579	11186	8100
580	11252	8114
581	11337	8142
582	11363	8128
583	11382	8108
584	11401	8088
585	11421	8069
586	11437	8047
587	11453	8025
588	11466	8001
589	11479	7977
590	11494	7954
591	11509	7932
592	11524	7909
593	11561	7902
594	11581	7882
595	11601	7864
596	11654	7866
597	11718	7877
598	11774	7882
599	11813	7875
600	11829	7853
601	11858	7839
602	11872	7816
603	11885	7792
604	11897	7768
605	11906	7741
606	11917	7716
607	11925	7689
608	11935	7663
609	11944	7636
610	11952	7609
611	11960	7582
612	11985	7566
613	11995	7541
614	12006	7516
615	12016	7490
616	12025	7464
617	12035	7439
618	12043	7412
619	12052	7387
620	12062	7361
621	12072	7336
622	12081	7311
623	12092	7286
624	12100	7260
625	12110	7235
626	12119	7209
627	12128	7184
628	12137	7159
629	12146	7133
630	12154	7107
631	12165	7083
632	12173	7058
633	12191	7038
634	12215	7021
635	12230	6999
636	12248	6979
637	12261	6957
638	12269	6931
639	12279	6907
640	12287	6881
641	12305	6861
642	12318	6839
643	12335	6819
644	12366	6806
645	12420	6806
646	12433	6783
647	12445	6760
648	12458	6738
649	12467	6713
650	12481	6691
651	12494	6668
652	12503	6644
653	12514	6620
654	12528	6598
655	12540	6576
656	12553	6553
657	12570	6533
658	12594	6516
659	12611	6496
660	12646	6485
661	12667	6467
662	12689	6450
663	12707	6430
664	12724	6410
665	12743	6391
666	12789	6385
667	12818	6370
668	12901	6383
669	12952	6379
670	12997	6372
671	13036	6363
672	13067	6349
673	13108	6340
674	13170	6341
675	13213	6333
676	13239	6316
677	13254	6294
678	13267	6272
679	13283	6251
680	13303	6231
681	13445	6269
682	13529	6279
683	13605	6285
684	13666	6284
685	13709	6275
686	13725	6253
687	13738	6230
688	13752	6207
689	13795	6197
690	13822	6181
691	13872	6174
692	13934	6172
693	13945	6148
694	13965	6128
695	13981	6106
696	13989	6081
697	13998	6056
698	14015	6035
699	14025	6010
700	14033	5985
701	14043	5961
702	14054	5937
703	14063	5912
704	14076	5890
705	14085	5865
706	14099	5843
707	14107	5818
708	14123	5796
709	14141	5776
710	14156	5754
711	14163	5729
712	14173	5705
713	14182	5681
714	14194	5657
715	14205	5634
716	14218	5612
717	14233	5590
718	14258	5572
719	14307	5564
720	14356	5555
721	14398	5544
722	14413	5522
723	14436	5503
724	14454	5482
725	14474	5462
726	14490	5441
727	14503	5418
728	14534	5402
729	14551	5381
730	14560	5358
731	14569	5334
732	14580	5311
733	14593	5288
734	14608	5267
735	14617	5243
736	14633	5222
737	14644	5199
738	14654	5175
739	14663	5152
740	14671	5128
741	14682	5105
742	14690	5081
743	14700	5058
744	14726	5040
745	14735	5017
746	14746	4994
747	14755	4971
748	14763	4947
749	14772	4924
750	14781	4900
751	14790	4877
752	14799	4854
753	14810	4832
754	14827	4811
755	14839	4789
756	14849	4766
757	14859	4744
758	14879	4724
759	14894	4703
760	14936	4690
761	14950	4669
762	14965	4648
763	14974	4625
764	14983	4602
765	14992	4580
766	15002	4557
767	15013	4535
768	15022	4512
769	15040	4492
770	15063	4474
771	15076	4452
772	15091	4431
773	15122	4415
774	15141	4395
775	15172	4379
776	15190	4359
777	15210	4340
778	15226	4319
779	15246	4300
780	15274	4283
781	15333	4274
782	15342	4251
783	15355	4230
784	15368	4209
785	15376	4186
786	15387	4164
787	15398	4142
788	15408	4120
789	15415	4097
790	15424	4075
791	15433	4053
792	15443	4031
793	15452	4009
794	15463	3987
795	15472	3965
796	15482	3943
797	15492	3921
798	15503	3900
799	15516	3879
800	15543	3861
801	15553	3839
802	15562	3817
803	15571	3795
804	15582	3774
805	15592	3752
806	15602	3731
807	15614	3710
808	15633	3690
809	15666	3674
810	15685	3655
811	15702	3635
812	15718	3615
813	15781	3606
814	15803	3587
815	15819	3567
816	15839	3547
817	15849	3526
818	15859	3505
819	15869	3483
820	15881	3462
821	15890	3441
822	15899	3419
823	15908	3397
824	15917	3376
825	15927	3355
826	15936	3333
827	15946	3312
828	15954	3291
829	15964	3269
830	15991	3252
831	16014	3233
832	16027	3213
833	16035	3191
834	16044	3170
835	16056	3149
836	16071	3129
837	16082	3109
838	16091	3087
839	16100	3066
840	16110	3045
841	16120	3025
842	16131	3004
843	16145	2984
844	16165	2965
845	16183	2945
846	16267	2938
847	16328	2926
848	16345	2907
849	16362	2887
850	16370	2866
851	16379	2845
852	16387	2824
853	16397	2803
854	16410	2783
855	16424	2763
856	16435	2742
857	16444	2721
858	16459	2701
859	16511	2687
860	16522	2667
861	16531	2646
862	16540	2625
863	16550	2605
864	16560	2584
865	16569	2563
866	16578	2543
867	16587	2522
868	16595	2501
869	16606	2481
870	16614	2460
871	16623	2440
872	16632	2419
873	16650	2400
874	16659	2379
875	16670	2359
876	16681	2339
877	16690	2319
878	16701	2299
879	16753	2284
880	16771	2265
881	16794	2246
882	16810	2227
883	16827	2208
884	16860	2190
885	16878	2171
886	16924	2156
887	16947	2137
888	16977	2119
889	16987	2099
890	16997	2079
891	17007	2059
892	17017	2038
893	17026	2018
894	17041	1999
895	17054	1979
896	17062	1959
897	17071	1939
898	17081	1919
899	17090	1898
900	17099	1878
901	17108	1858
902	17117	1838
903	17127	1818
904	17137	1798
905	17148	1779
906	17158	1759
907	17181	1740
908	17200	1721
909	17210	1702
910	17248	1685
911	17266	1666
912	17284	1647
913	17304	1628
914	17326	1609
915	17344	1590
916	17363	1571
917	17395	1553
918	17452	1538
919	17466	1518
920	17476	1499
921	17486	1479
922	17496	1459
923	17506	1439
924	17519	1420
925	17528	1400
926	17539	1381
927	17548	1361
928	17558	1341
929	17567	1322
930	17575	1302
931	17584	1283
932	17595	1263
933	17616	1244
934	17630	1225
935	17639	1206
936	17655	1187
937	17668	1167
938	17677	1148
939	17687	1128
940	17698	1109
941	17709	1090
942	17718	1071
943	17727	1051
944	17736	1032
945	17745	1012
946	17755	993
947	17764	974
948	17773	955
949	17782	935
950	17791	916
951	17858	900
952	17909	883
953	17989	867
954	18062	851
955	18094	832
956	18121	814
957	18135	795
958	18143	775
959	18157	756
960	18168	737
961	18180	718
962	18192	699
963	18218	680
964	18233	661
965	18249	642
966	18273	623
967	18286	604
968	18299	585
969	18308	566
970	18318	547
971	18329	528
972	18337	508
973	18352	489
974	18361	470
975	18380	451
976	18400	433
977	18431	414
978	18557	398
979	18690	381
980	18739	362
981	18752	343
982	18764	324
983	18774	305
984	18804	286
985	18813	267
986	18821	247
987	18830	228
988	18843	209
989	18851	190
990	18858	171
991	18867	152
992	18877	133
993	18887	114
994	18897	94
995	18916	75
996	18931	56
997	18941	37
998	18949	18
999	18961	0
